VariableCode,VariableTable,VariableMeasurementUnit,VariableStatisticalUnit,VariableSubDomain,VariableDomain,VariableName,VariableClustered,variable_short
Total_Population,Usual Resident Population,Count,Person,Totals,Totals,Total Population,Total Population,totpop
Total_Households,Household Composition,Count,Household,Totals,Totals,Total Number of Households,Total Number of Households,totHH
Total_Population_16_and_over,Age Structure,Count,Person_16_Over,Totals,Totals,Total Population aged 16 and over,Total Population aged 16 and over,tot16+
Total_Population_16_to_74,Age Structure,Count,Person_16_to_74,Totals,Totals,Total Population aged 16 to 74,Total Population aged 16 to 74,tot16_64
Total_Population_3_and_over,Age Structure,Count,Person_3_Over,Totals,Totals,Total Population aged 3 and over,Total Population aged 3 and over,tot3+
Total_Population_school_census,Age Structure,Count,Person_school_Census,Totals,Totals,Total population on school census,Total population on school census ,totschool
Total_Population_census,Usual Resident Population,Count,Person_census,Totals,Totals,Total Population_census,Total Population_census,
Total_Households_census,Household Composition,Count,Household_census,Totals,Totals,Total Number of Households_census,Total Number of Households_census,
Total_Population_16_and_over_census,Age Structure,Count,Person_16_Over_census,Totals,Totals,Total Population aged 16 and over_census,Total Population aged 16 and over_census,
Total_Population_16_to_74_census,Age Structure,Count,Person_16_to_74_census,Totals,Totals,Total Population aged 16 to 74_census,Total Population aged 16 to 74_census,
Total_Population_3_and_over_census,Age Structure,Count,Person_3_Over_census,Totals,Totals,Total Population aged 3 and over_census,Total Population aged 3 and over_census,
RM2018_01,Age Structure,Count,Person,Population_Age,Demographic,Persons aged 0 to 4,% Persons aged 0 to 4,0_4yrs
RM2018_02,Age Structure,Count,Person,Population_Age,Demographic,Persons aged 5 to 14,% Persons aged 5 to 14,5_14yrs
RM2018_03,Age Structure,Count,Person,Population_Age,Demographic,Persons aged 25 to 44,% Persons aged 25 to 44,25_44yrs
RM2018_04,Age Structure,Count,Person,Population_Age,Demographic,Persons aged 45 to 64,% Persons aged 45 to 64,45_64yrs
RM2018_05,Age Structure,Count,Person,Population_Age,Demographic,Persons aged 65 to 89,% Persons aged 65 to 89,65_89yrs
RM2018_06,Age Structure,Count,Person,Population_Age,Demographic,Persons aged 90 and over,% Persons aged 90 and over,90plusyrs
RM2018_07,Usual Resident Population,Count,Person_census,Population_Structure,Demographic,Persons living in a communal establishment,% Persons living in a communal establishment,care
RM2018_08,Ethnic Group,Count,Person,Ethnicity,Demographic,Persons who are white British/Irish,% Persons who are white,WB
RM2018_09,Ethnic Group,Count,Person,Ethnicity,Demographic,Persons who are White: Other,% Persons who have mixed ethnicity or are from multiple ethnic groups,Woth
RM2018_10,Ethnic Group,Count,Person,Ethnicity,Demographic,Persons who are Asian/Asian British: Indian,% Persons who are Asian/Asian British: Indian,Ind
RM2018_11,Ethnic Group,Count,Person,Ethnicity,Demographic,Persons who are Asian/Asian British: Pakistani,% Persons who are Asian/Asian British: Pakistani,Pak
RM2018_12,Ethnic Group,Count,Person,Ethnicity,Demographic,Persons who are Asian/Asian British: Bangladeshi,% Persons who are Asian/Asian British: Bangladeshi,Ban
RM2018_13,Ethnic Group,Count,Person,Ethnicity,Demographic,"Persons who are Asian/Asian British: Chinese , Black Other and Other",% Persons who are Asian/Asian British: Chinese and Other,Other
RM2018_14,Ethnic Group,Count,Person,Ethnicity,Demographic,Persons who are Black African,% Persons who are Black/African/Caribbean/Black British,Afr
RM2018_15,Ethnic Group,Count,Person,Ethnicity,Demographic,Persons who are Black Caribbean,% Persons who are Arab or from other ethnic groups,Car
RM2018_17,Proficiency in English,Count,Person_school_Census,Proficiency_in_English,Demographic,Language other than English spoken at home based on annual school census,% Persons whose main language is not English and they cannot speak English well or at all,2ndlang
RM2018_18,Household Composition,Count,Household,Household_Type,Household_Composition,Households with no children under 16,% Households with no children,nokids
RM2018_21,Household Composition,Count,Household,Household_Type,Household_Composition,cohabiting adult households no under 16's,% Households with cohabiting adult households no under 16's,co_nkids
RM2018_22,Household Composition,Count,Household,Household_Type,Household_Composition,Family households with dependent children,% Households with Family households with dependent children,family
RM2018_23,Household Composition,Count,Household,Household_Type,Household_Composition,older cohabiting households,% Households with older cohabiting households,oldcohab
RM2018_24,Household Composition,Count,Household,Household_Type,Household_Composition,older person living alone,% Households with older person living alone,oldalone
RM2018_25,Household Composition,Count,Household,Household_Type,Household_Composition,single adult households,% Households with single adult households,single
RM2018_26,Household Composition,Count,Household,Household_Type,Household_Composition,single adult households with dependant children,% Households with single adult households with dependant children,lonep
RM2018_27,Household Composition,Count,Household,Household_Type,Household_Composition,three generational households,% Households with three generational households,threegen
RM2018_28,Tenure,Count,Household,Housing_Ownership,Housing,Households who own or have shared ownership of property,% Households who own or have shared ownership of property,ooc
RM2018_29,Tenure,Count,Household,Housing_Ownership,Housing,Households who are social renting,% Households who are social renting,sr
