"OA","RM2018_01","RM2018_02","RM2018_03","RM2018_04","RM2018_05","RM2018_06","RM2018_08","RM2018_09","RM2018_10","RM2018_11","RM2018_12","RM2018_13","RM2018_14","RM2018_15","RM2018_17","RM2018_18","RM2018_21","RM2018_22","RM2018_23","RM2018_24","RM2018_25","RM2018_26","RM2018_27","RM2018_28","RM2018_29","RM2018_30","RM2018_31","RM2018_40","RM2018_41","RM2018_42","RM2018_43","Cluster"
"IG110AY",0.665683893657763,0.875334432298908,0.630620849206586,0.837638595764409,0.345708635482374,0.435591931131637,0.590972051335672,0.575092866130438,0.501046777171426,0.584862087439763,0,0.633673501110169,0.90745139981536,0.581839762516671,0.968472371796271,0.607826330621298,0,0.945707051341253,0.607826330621298,0,0,0,0.786512606542353,0,0,1,0,0.945707051341253,0,0.756679324925131,0,5
"IG110BH",0.544982534005587,0.703606806302715,0.787965389580539,0.765008062009762,0.634374566801814,0,0.781725640583383,0.702395146888742,0.525598743561332,0.432228710389547,0.771852498913836,0.545202064013684,0.552138827520854,0.175645354868815,0.968472371796271,0.919038518137339,0.682719240717576,0.742759538390826,0.657558382362833,0.607337276744496,0.690621035419632,0.438157040173642,0.547455963342465,0.944238395138681,0.298287835496822,0.72478598185533,0,0.423080503233205,0.376299384802575,0.433539947358506,0,3
"IG110BJ",0.677233155143295,0.717995295736166,0.835178309210661,0.733739470617442,0.477778311645076,0.134447307705676,0.731806331827928,0.768818287922265,0.521482544204879,0.503528213304614,0.523111974293878,0.460972838186885,0.768858022763184,0.42326580838144,0.939084585946618,0.923479112156337,0.781904703756631,0.745282601341134,0.614669209768401,0.4660450650476,0.669653215087845,0.527782704443317,0,0.933682578302385,0,0.770468649361776,0,0.38129407199792,0.695648393777646,0.390720467236872,0.368306291632499,3
"IG110BL",0.606047162662686,0.776710101455075,0.834261224667057,0.760405885530758,0.512900183569047,0.19180900056169,0.710437443738438,0.700121366473432,0.667246480954337,0.575561458873525,0.557001203282458,0.391805839030853,0.772364790415143,0.185814026130641,0.894388811693048,0.877969180524785,0.716213784220562,0.809850341509097,0.610789329181776,0.436857414490865,0.617858606854877,0.442655954779093,0.303381814162255,0.914271628720823,0.427424614774864,0.783483323180919,0,0.353367280756049,0.44578381862735,0.625889332164862,0.59864855694385,3
"IG110BN",0.595016674722684,0.777643257064717,0.798653646097718,0.735230946835257,0.584847667821042,0,0.783911575167514,0.70530872909169,0.63250673041135,0.524195480120273,0.398398906869634,0.448213583324842,0.740411149862641,0.476799115139566,0.896855641012511,0.891416956231948,0.738423925006285,0.713244519145566,0.553763032708756,0.488444855611673,0.657354950580808,0.629486312721515,0.716556003451458,0.929286268367683,0.553763032708756,0.713244519145566,0,0.47789815926988,0.819785521488329,0.665899036526532,0,3
"IG110BQ",0.516555240791942,0.674381758310116,0.801661177137754,0.707671029914669,0.552204839259842,0,0.718850891649389,0.67505573782894,0.360639715092548,0.686523049088344,0.811798481784482,0.29636184893912,0.641365536848025,0,0.929286268367683,0.914700039627276,0.783911575167514,0.783911575167514,0.547989023548127,0.42808398422265,0.686238287811993,0,0.541969661803267,0.972331920661557,0,0.62420068671738,0,0,0,0,0.47789815926988,3
"IG110BW",0.649513819830177,0.756293329801759,0.794945698626143,0.758704012098447,0.439493219428493,0,0.61435267775183,0.806857860289071,0.205205894325461,0,0.628687685738863,0.412611131566456,0.837431353693751,0.588641228352887,0.962128088920799,0.817880082600877,0.632958337013139,0.859984111854469,0.556718843322457,0.436857414490865,0.563162309017193,0.655513901915821,0,0.936499339591827,0,0.763608734257113,0,0.427424614774864,0.539209449561924,0.570482109629304,0.678386638660174,1
"IG110ES",0,0,0.336496289082751,0,0.98874088669466,0.743098974577187,0.916077528556563,0.61116567120446,0,0,0,0.433250438584997,0.736621413632543,0.397811068089324,0,1,0,0,0.450894817230333,1,0.456113475304522,0,0,0,0,0.966608406370921,0,0.324627969854371,0,0.984163783464005,0,8
"IG110EY",0,0.85566561499454,0.952193304222089,0.493976553219944,0,0,0.410655465781354,0.881390223564933,0,0.775601798938899,0,0.846104648104274,0.566974679955702,0.518054646385287,1,0.738423925006285,0.738423925006285,0.945707051341253,0,0,0,0,0,0.869190749333675,0,0.869190749333675,0,0,0,0.756679324925131,0,5
"IG110FA",0.611437841722806,0.816548554073453,0.857832454690929,0.514148125524441,0.378086845573501,0,0.723756985711884,0.775163853895415,0.464336015391592,0.492495012937444,0.647341951604059,0.678311881469517,0.72194502029803,0.265440819807891,0.895813041836844,0.79268754492734,0.646913606850803,0.90034231092126,0.31533987890865,0.322299089532914,0.61968004697519,0.32657706260496,0.570816125090038,0.831862616757001,0,0.90034231092126,0,0.441133515072606,0,0.741212135695329,0.73262092147939,5
"IG110FB",0.61251845505557,0.877723651621806,0.831981074989554,0.780674400322114,0,0,0.489935362802953,0.444155633612662,0,0.637930872788947,0,0.569763395950147,0.976736607222375,0.523157427933364,0.894388811693048,0.851206032569855,0.809103143579341,0.809103143579341,0,0,0.554331450280536,0.702561047878982,0,0.809103143579341,0,0.914700039627276,0,0,0,0.872249644527261,0.632958337013139,5
"IG110FD",0.429498014165865,0.781607267439372,0.682731257902824,0.820189474465673,0,0,0,0,0,0,0.785600309161703,0,0.93408688705908,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.738423925006285,0,0.890678981496131,0.738423925006285,7
"IG110FE",0.559004244174365,0.936612122333761,0.871882643041555,0.596956556131617,0,0,0.929876936690564,0.715852212206635,0,0,0,0,0.601220380215989,0,0.678386638660174,0.661991325345404,0.661991325345404,0.96559101975296,0,0,0,0,0,0.79268754492734,0.923479112156337,0,0,0.661991325345404,0,0.678357149877544,0.851206032569855,7
