OA11CD,Total_Population,Total_Households,Total_Population_16_and_over,Total_Population_16_to_74,Total_Population_3_and_over,Total_Population_school_census,Total_Population_census,Total_Households_census,Total_Population_16_and_over_census,Total_Population_16_to_74_census,Total_Population_3_and_over_census,RM2018_01,RM2018_02,RM2018_03,RM2018_04,RM2018_05,RM2018_06,RM2018_07,RM2018_08,RM2018_09,RM2018_10,RM2018_11,RM2018_12,RM2018_13,RM2018_14,RM2018_15,RM2018_17,RM2018_18,RM2018_21,RM2018_22,RM2018_23,RM2018_24,RM2018_25,RM2018_26,RM2018_27,RM2018_28,RM2018_29,RM2018_30,RM2018_31,RM2018_32,RM2018_33,RM2018_34,RM2018_35,RM2018_36,RM2018_40,RM2018_41,RM2018_42,RM2018_43
E00000037,320,98,252,244,311,39,334,110,273,262,317,19,43,128,41,22,0,0,24,78,49,85,39,8,27,1,31,63,27,29,10,8,18,3,2,35,13,49,0,105.481324,25,61,16,109,13,8,16,0
E00000038,435,112,310,297,410,61,401,116,309,298,370,38,76,159,41,32,0,0,54,106,21,136,57,8,20,2,49,57,16,42,13,8,20,7,5,69,0,41,0,88.98825336,37,93,33,68,11,12,11,8
E00000039,402,148,235,232,370,81,358,141,242,241,320,55,105,143,46,8,0,0,45,109,18,48,51,13,94,3,58,60,19,42,3,3,35,35,1,33,1,113,0,37.11447198,18,73,21,75,17,15,22,15
E00000040,401,162,262,260,361,62,160,67,122,121,150,62,76,172,41,8,0,0,42,105,43,33,36,14,95,6,47,85,22,42,4,4,55,34,0,31,9,118,3,48.83029269,8,26,8,52,23,1,46,5
E00000041,335,90,243,232,307,45,293,89,229,223,269,35,53,123,37,20,0,0,30,61,30,93,62,9,25,1,36,46,16,31,3,6,21,5,8,50,1,36,0,74.2304693,31,53,28,64,5,6,7,1
E00000042,226,141,182,159,206,14,223,144,202,168,210,27,17,73,32,36,3,0,63,52,19,32,6,4,33,4,11,111,12,15,8,27,64,10,0,21,89,31,0,196.7396871,9,40,18,38,6,3,55,1
E00000043,345,123,240,237,333,84,356,123,249,246,340,22,75,125,51,10,0,0,60,63,7,33,10,5,146,5,63,68,25,42,3,5,35,11,1,14,95,14,0,46.22619197,16,82,18,57,6,2,41,12
E00000045,327,104,207,205,308,68,280,102,190,190,250,34,80,107,44,10,0,0,50,85,24,37,19,8,74,5,50,46,22,34,2,5,17,16,2,34,8,60,0,33.89020497,18,49,24,55,14,3,19,7
E00000046,386,158,257,248,360,70,357,147,252,244,315,50,75,149,38,19,0,0,62,88,37,55,16,21,82,8,49,88,19,36,3,11,55,26,3,23,95,37,0,61.45610535,20,45,18,100,11,0,33,16
E00000048,469,151,296,290,441,131,405,145,266,261,379,47,117,137,58,13,0,0,99,56,2,67,15,22,172,13,80,74,20,50,4,6,44,21,2,15,107,29,0,51.09995887,27,89,21,58,19,0,51,20
